labels,ENG,DEU,NLD,JPN,SPA,TUR,POR,ITA
cfgwintxt1,Font colour,Farben,Letterkleur,フォント カラー,Color de fuente,Font rengi,Cor da fonte,Colore font
cfgwintxt2,Word wrap,Umbruch,Woordafbreking,オプション,Ajuste de línea,Kelime kaydırma,Quebra de linha,Allinea testo
cfgwintxt3,Word wrap at window border,Umbruch am Fensterende,Woordafbreking bij vensterrand,ウィンドウ ボーダー で ワードラップ,Al marco de la ventana,Pencere kenarında kelime kaydırma,na borda da janela,Giustifica
cfgwintxt4,Word wrap at,Umbruch bei,Woordafbreking bij,ワードラップ する,Ajuste a,Kelime kaydırma,depois de,Allinea a
cfgwintxt5,px,px,px,ピーエックス,px,px,px,px
cfgwintxt6,No word wrap,Kein Umbruch,Geen woordafbreking,ワードラップ なし,Sin ajuste de línea,Kelime kaydırma yok,Sem quebra de linha,Nessuna distribuzione testo
cfgwintxt7,Tabstop width,Tabstop Breite,Tabstopbreedte,タブストップ はば,Tabulación,Sekme durağı genişliği,Tabulação,Tabulazione
cfgwintxt8,chars,Zeichen,tekens,キャラクター,caracteres,karakter,caracteres,Caratt.
cfgwintxt9,Pen,Schrift,Pen,ペン,Color,Kalem,Caneta,Colore
cfgwintxta,Paper,Hinterg.,Papier,ペーパー,Fondo,Kağıt,Papel,Sfondo
cfgwintxtb,Preview,Vorschau,Voorbeeld,プレビュー,Previa ,Önizleme,Prévia ,Anteprima
cfgwintxt10,Load from,Schriftart,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#,Carregar,Carica da
cfgwintxt11,Fontfile,laden,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#,fonte,File font
cfgwintxt12,Miscellaneous,Allgemein,Diversen,そのた,Varios,Çeşitli,Diversos,Varie
fndwintit,Find,Suchen,Zoeken,ファインド,Buscar,Bul,Localizar,Trova
repwintit,Replace,Ersetzen,Vervangen,リプレイス,Reemplazar,Değiştir,Substituir,Sostituisci
gotwintit,Go to,Gehe zu,Ga naar,ゴートゥー,Ir a,Git,Ir para,Vai a
fndwintxt1,Find what,Suchtext,Zoekterm,なに を ファインド,Buscar,Arama metni,Localizar,Trova
fndwintxt2,Replace with,Ersetze mit,Vervangen door,なに で リプレイス,Reemplazar,Şununla değiştir,Substituir por,Sostituisci
fndwintxt3,Match case,Groß/Klein,Hoofdlettergevoelig,ケース を マッチ,Coincidir Mayús/minúsc.,Büyük küçük harfe uy,Diferenciar maiúsculas,Confronta maiusc/minusc
fndwintxt4,Whole word only,Nur ganze Wörter,Alleen hele woorden,ワード ぜんたい のみ,Solo palabra completa,Sadece tüm kelime,Palavra inteira,Solo parola intera
fndwintxt5,Entire document,Alle ab Anfang,Gehele document,ドキュメント ぜんたい,Todo el documento,Tüm belge,Documento inteiro,In tutto il documento
fndwintxt6,Line,Zeile,Regel,ライン,Línea,Satır,Linha,Linea
fndwintxt7,Column,Spalte,Kolom,カラム,Columna,Sütun,Coluna,Colonna
fndmsgtxt1,Text not found!,Text nicht gefunden!,Tekst niet gevonden!,テキスト が みつかりません！,¡Texto no encontrado!,Metin bulunamadı!,Texto não encontrado!,Testo non trovato!
fndmsgtxt3a,Textbuffer full. Couldn't,Speicher voll. Nicht alles,Tekstbuffer vol. Kon niet,テキストバッファー が いっぱい,Búfer de texto lleno. No se,Metin arabelleği dolu. Bir veya,Buffer de texto cheio. Não foi,Buffer pieno. Non posso sostituire
fndmsgtxt3b,replace one or more entries.,konnte ersetzt werden.,één of meer items vervangen.,で、いくつか の エントリー を リプレイス できません。,reemplazaron una o más entradas.,daha fazla girdi değiştirilemedi.,possível substituir uma ou mais entradas.,una o più voci.
fndmsgtxt4,Invalid number,Ungültige Nummer,Ongeldig getal,ムこう な ナンバー,Número no válido,Geçersiz sayı,Número inválido,Numero non valido
_fndmsgtxt2a,Replaced ,,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#
fndmsgtxt2b,????? times.,????? mal ersetzt.,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#
fndmsgtxt2c, times., mal ersetzt.,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#
prgwinmentx1,File,Datei,Bestand,ファイル,Archivo,Dosya,Arquivo,File
prgwinmen1tx1, New, Neu, Nieuwe, ニュー, Nuevo, Yeni, Novo, Nuovo
prgwinmen1tx2, Open..., Öffnen..., Openen..., オープン..., Abrir..., Aç…, Abrir..., Apri…
prgwinmen1tx3, Save, Speichern, Opslaan, セーブ, Guardar, Kaydet, Salvar, Salva
prgwinmen1tx4, Save As..., Speichern unter..., Opslaan als..., セーブ アズ..., Guardar como..., Farklı Kaydet…, Salvar como..., Salva come…
prgwinmen1tx5, Print..., Drucken..., Afdrukken..., プリント..., Imprimir..., Yazdır…, Imprimir..., Stampa…
prgwinmen1tx6, Exit, Beenden, Afsluiten, イグジット, Salir, Çıkış, Sair, Esci
prgwinmentx2,Edit,Bearbeiten,Bewerken, エディット,Edición,Düzenle,Editar,Modifica
prgwinmen2tx1, Cut, Ausschneiden, Knippen, カット, Cortar, Kes, Recortar, Taglia
prgwinmen2tx2, Copy, Kopieren, Kopiëren, コピー, Copiar, Kopyala, Copiar, Copia
prgwinmen2tx3, Paste, Einfügen, Plakken, ペースト, Pegar, Yapıştır, Colar, Incolla
prgwinmen2tx4, Delete, Löschen, Verwijderen, デリート, Borrar, Sil, Excluir, Elimina
prgwinmen2tx5, Find..., Suchen..., Zoeken..., ファインド..., Buscar..., Bul…, Localizar..., Trova…
prgwinmen2tx6, Find Again, Weitersuchen, Opnieuw zoeken, ファインド アゲイン, Buscar de nuevo, Tekrar Bul, Localizar novamente, Trova ancora
prgwinmen2tx7, Replace..., Ersetzen..., Vervangen..., リプレイス..., Reemplazar…, Değiştir…, Substituir..., Sostituisci…
prgwinmen2tx8, Go To..., Gehe zu..., Ga naar..., ゴートゥー..., Ir a..., Git…, Ir para..., Vai a
prgwinmen2tx9, Select All, Alles markieren, Alles selecteren, セレクト オール, Seleccionar todo, Tümünü Seç, Selecionar tudo, Seleziona tutto
prgwinmen2txa, Time/Date, Zeit/Datum, Tijd/datum, タイム／デイト, Fecha/Hora, Saat/Tarih, Hora/Data, Ora/Data
prgwinmentx3,Format,Format,Opmaak, フォーマット,Formato,Biçim,Formatar,Formato
prgwinmen3tx1, Auto word wrap, Automatischer Umbruch, Automatische woordafbreking, オート ワードラップ, Ajuste de línea automático, Otomatik kelime kaydırma, Quebra automática, Allineamento automatico
prgwinmen3tx2, Settings..., Einstellungen..., Instellingen..., セッティング..., Opciones..., Ayarlar…, Configurações..., Impostazioni…
prgwinmentx4,View,Ansicht,Beeld,ビュー,Ver,Görünüm,Exibir,Visualizza
prgwinmen4tx1, Tool bar, Statusleiste, Statusbalk, ステータス バー, Barra de estado,#TRANSLATE#, Barra de ferramentas, Barra degli strumenti
prgwinmen4tx2, Status bar, Statusleiste, Statusbalk, ステータス バー, Barra de estado, Durum çubuğu, Barra de status, Barra di stato
prgwinmen4tx3, Line numbers, Zeilennummern,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#,#TRANSLATE#, Números de linha, Numeri di linea
prgwinmentx5,?,?,?,クエスチョン,?,?,?,?
prgwinmen5tx1, Index, Hilfethemen, Index, インデックス, Índice, İndeks, Índice, Indice
prgwinmen5tx2, About Wordpad..., Über Wordpad..., Over Wordpad..., ワードパッド に ついて..., Acerca de Wordpad..., Wordpad hakkında…, Sobre o Wordpad..., Info su Wordpad
